start, grgr, NA,2011,1434455240314
0,next, 0.0, null,26108,26109,1434455264412
1,newTrial, NA,location A  location B  location C,0,26109,1434455264412
1,next, 262.6446, location A  location B  location C,81883,107992,1434455346295
2,newTrial, NA,location A  location B  location C,0,107992,1434455346295
